Date,SPY,QQQ
6/14/18,278.73,177.6
6/13/18,278.03,175.82
6/12/18,278.92,175.83
6/11/18,278.56,174.91
6/8/18,278.19,174.44
6/7/18,277.37,174.43
6/6/18,277.4,175.86
6/5/18,275.1,174.84
6/4/18,274.9,174.3
6/1/18,273.6,172.74
5/31/18,270.94,170.07
5/30/18,272.61,170.18
5/29/18,269.02,168.97
5/25/18,272.15,169.72
5/24/18,272.8,169.55
5/23/18,273.36,169.6
5/22/18,272.61,168.18
5/21/18,273.37,168.4
5/18/18,271.33,167.46
5/17/18,272.01,168.33
5/16/18,272.24,168.98
5/15/18,271.1,167.87
5/14/18,272.98,169.75
5/11/18,272.85,169.46
5/10/18,272.02,169.62
5/9/18,269.5,167.88
5/8/18,266.92,166.07
5/7/18,266.92,166.24
5/4/18,266.02,164.87
5/3/18,262.62,161.8
5/2/18,263.2,161.82
5/1/18,264.98,162.78
4/30/18,264.51,160.94
4/27/18,266.56,162.09
4/26/18,266.31,161.99
4/25/18,263.63,158.65
4/24/18,262.98,158.46
4/23/18,266.57,161.89
4/20/18,266.61,162.3
4/19/18,268.89,164.91
4/18/18,270.39,166.44
4/17/18,270.19,166.1
4/16/18,267.33,162.6
4/13/18,265.15,161.37
4/12/18,265.93,162.21
4/11/18,263.76,160.28
4/10/18,265.15,161.21
4/9/18,261,157.73
4/6/18,259.72,156.63
4/5/18,265.64,160.65
4/4/18,263.56,159.74
4/3/18,260.77,157.26
4/2/18,257.47,155.51
3/29/18,263.15,160.13
3/28/18,259.83,157.25
3/27/18,260.6,159.08
3/26/18,265.11,164.4
3/23/18,258.05,158.51
3/22/18,263.67,162.8
3/21/18,270.43,166.92
3/20/18,270.95,167.65
3/19/18,270.49,167.1
3/16/18,274.2,171.02
3/15/18,275,171.53
3/14/18,275.3,171.68
3/13/18,276.72,171.71
3/12/18,278.52,174.08
3/9/18,278.87,173.16
3/8/18,274.1,169.86
3/7/18,272.78,168.93
3/6/18,272.88,168.54
3/5/18,272.19,167.83
3/2/18,269.08,165.99
3/1/18,267.7,164.48
2/28/18,271.65,167.21
2/27/18,274.43,168.29
2/26/18,277.9,170.4
2/23/18,274.71,168.17
2/22/18,270.4,164.8
2/21/18,270.05,164.82
2/20/18,271.4,165.29
2/16/18,273.11,164.96
2/15/18,273.03,165.7
2/14/18,269.59,162.68
