Date,Close/Last,Volume,Open,High,Low
04/26/2018,266.31,67441210,264.79,267.2452,264.29
04/25/2018,263.63,103238300,262.91,264.13,260.85
04/24/2018,262.98,112734000,267.73,267.9762,261.28
04/23/2018,266.57,65463180,267.26,267.89,265.35
04/20/2018,266.61,99469420,268.81,269.06,265.61
04/19/2018,268.89,77570630,269.65,269.88,267.72
04/18/2018,270.39,57073780,270.69,271.3,269.87
04/17/2018,270.19,64011070,269.33,270.87,268.75
04/16/2018,267.33,62762920,267,268.2,266.07
04/13/2018,265.15,84883690,267.41,267.54,264.01
04/12/2018,265.93,68430410,265.26,267,265.06
04/11/2018,263.76,91002710,263.47,265.64,263.39
04/10/2018,265.15,105267300,264.27,266.04,262.98
04/09/2018,261,104953500,261.37,264.84,259.9356
04/06/2018,259.72,179290700,263.42,265.11,258
04/05/2018,265.64,80939550,265.55,266.64,264.32
04/04/2018,263.56,123488600,256.75,264.355,256.6
04/03/2018,260.77,119649600,258.87,261.31,256.84
04/02/2018,257.47,185059000,262.55,263.13,254.67
03/29/2018,263.15,123918900,261.12,265.26,259.8389
03/28/2018,259.83,146259600,260.75,262.64,258.58
03/27/2018,260.6,129121800,266.17,266.77,258.84
03/26/2018,265.11,141055300,262.13,265.43,259.41
03/23/2018,258.05,183290800,264.17,265.02,257.83
03/22/2018,263.67,147715200,267.91,268.87,263.36
03/21/2018,270.43,78515750,270.9,273.27,270.19
03/20/2018,270.95,59438810,270.94,271.67,270.18
03/19/2018,270.49,108516000,273.35,274.3957,268.62
03/16/2018,274.2,99805450,274.5,275.39,274.14
03/15/2018,275,80722410,275.88,276.61,274.43
03/14/2018,275.3,105737200,277.81,278.02,274.67
03/13/2018,276.72,89639370,279.84,280.41,276.03
03/12/2018,278.52,71759540,279.2,279.91,278.0801
03/09/2018,278.87,113447100,275.7,278.87,275.34
03/08/2018,274.1,66585910,273.55,274.24,272.42
03/07/2018,272.78,86910350,270.42,273.18,270.2
03/06/2018,272.88,75247670,273.3,273.39,271.18
03/05/2018,272.19,96744650,267.73,272.89,267.61
03/02/2018,269.08,138968000,265.8,269.72,264.82
03/01/2018,267.7,176457600,271.41,273.17,266
02/28/2018,271.65,121488400,275.68,276.19,271.29
02/27/2018,274.43,98302760,278.11,278.92,274.36
02/26/2018,277.9,85166420,275.93,278.01,275.26
02/23/2018,274.71,92045650,271.79,274.71,271.25
02/22/2018,270.4,108484800,271.1,273.05,269.64
02/21/2018,270.05,97671020,271.9,274.72,269.94
02/20/2018,271.4,85431860,272.03,273.67,270.5
02/16/2018,273.11,160341500,272.32,275.32,272.27
02/15/2018,273.03,110226800,271.57,273.04,268.77
02/14/2018,269.59,120406400,264.31,270,264.3
02/13/2018,266,81055770,263.97,266.62,263.31
02/12/2018,265.34,140752800,263.83,267.01,261.6644
02/09/2018,261.5,283273100,260.8,263.61,252.92
02/08/2018,257.63,244841900,268.01,268.17,257.59
02/07/2018,267.67,166678000,268.5,272.36,267.58
02/06/2018,269.13,353681700,259.94,269.7,258.7
02/05/2018,263.93,292453400,273.45,275.85,263.31
02/02/2018,275.45,172897100,280.08,280.23,275.41
02/01/2018,281.58,89757330,281.07,283.06,280.68
01/31/2018,281.9,118655600,282.73,283.3,280.68
01/30/2018,281.76,131479000,282.6,284.736,281.22
01/29/2018,284.68,89891820,285.93,286.43,284.5
01/26/2018,286.58,107598800,284.25,286.6285,283.96
01/25/2018,283.3,84342320,284.16,284.27,282.405
01/24/2018,283.18,134617200,284.02,284.7,281.84
01/23/2018,283.29,96892090,282.74,283.62,282.37
01/22/2018,282.69,91146870,280.17,282.69,280.11
01/19/2018,280.41,141303100,279.8,280.41,279.14
01/18/2018,279.14,100397600,279.48,279.96,278.58
01/17/2018,279.61,112844200,278.03,280.05,276.97
01/16/2018,276.97,106269200,279.35,280.09,276.18
01/12/2018,277.92,90463870,276.42,278.11,276.0819
01/11/2018,276.12,62236650,274.75,276.12,274.56
01/10/2018,274.12,69394220,273.68,274.42,272.92
01/09/2018,274.54,57114650,274.4,275.25,274.081
01/08/2018,273.92,57116850,273.31,274.1,272.98
01/05/2018,273.42,82724160,272.51,273.56,271.95
01/04/2018,271.61,80455860,271.2,272.16,270.5447
01/03/2018,270.47,89133670,268.96,270.64,268.96
01/02/2018,268.77,86408820,267.84,268.81,267.4
12/29/2017,266.86,95651160,268.53,268.55,266.64
12/28/2017,267.87,44797000,267.89,267.92,267.45
12/27/2017,267.32,57677280,267.38,267.73,267.01
12/26/2017,267.19,45106430,267.05,267.4377,266.885
12/22/2017,267.51,78657310,267.6,267.635,266.9
12/21/2017,267.58,65925710,267.74,268.385,267.3
12/20/2017,267.03,76604710,268.27,268.33,266.69
12/19/2017,267.17,78001550,268.48,268.53,267.09
12/18/2017,268.2,83360810,268.1,268.6,267.98
12/15/2017,266.51,142356000,265.45,267.04,265.39
12/14/2017,265.66,99647210,267.09,267.22,265.6
12/13/2017,266.75,102819600,267.06,267.56,266.65
12/12/2017,266.78,84494560,266.57,267.32,266.345
12/11/2017,266.31,82848590,265.58,266.38,265.4793
12/08/2017,265.51,76301480,264.99,265.52,264.0315
12/07/2017,264.07,76832360,263.09,264.43,262.94
12/06/2017,263.24,75513050,262.87,263.73,262.71
12/05/2017,263.19,77839930,264.43,265.15,263.04
12/04/2017,264.14,93827280,266.31,266.8,264.08
12/01/2017,264.46,163874800,264.76,265.31,260.76
11/30/2017,265.01,126401000,263.76,266.05,263.67
11/29/2017,262.71,77179920,263.02,263.63,262.2
11/28/2017,262.87,98662580,260.76,262.9,260.655
11/27/2017,260.23,52070370,260.41,260.75,260
11/24/2017,260.36,27856510,260.32,260.48,260.16
11/22/2017,259.76,44890370,260,260.15,259.57
11/21/2017,259.99,68920380,259.18,260.2,258.2627
11/20/2017,258.3,47835520,258.14,258.525,257.86
11/17/2017,257.86,75679800,258.22,258.5882,257.77
11/16/2017,258.62,67487850,257.52,259.04,257.4748
11/15/2017,256.44,80248990,256.62,257.22,255.63
11/14/2017,257.73,61082090,257.41,257.85,256.52
11/13/2017,258.33,50040800,257.31,258.59,257.27
11/10/2017,258.09,59830970,257.73,258.2926,257.37
11/09/2017,258.17,94490930,257.73,258.39,256.36
11/08/2017,259.11,50277640,258.47,259.22,258.15
11/07/2017,258.67,57178400,258.97,259.35,258.09
11/06/2017,258.85,49529150,258.3,259,258.22
11/03/2017,258.45,59484150,257.77,258.5,257.3
11/02/2017,257.59,56264600,257.41,257.75,256.19
11/01/2017,257.49,54104920,258.04,258.43,257.07
10/31/2017,257.15,59193910,257.18,257.44,256.805
10/30/2017,256.75,54223350,257.07,257.6,256.41
10/27/2017,257.71,85252510,256.47,257.89,255.6254
10/26/2017,255.62,69643520,255.99,256.3,255.48
10/25/2017,255.29,103485100,256.18,256.31,254
10/24/2017,256.56,65036180,256.6,256.83,256.15
10/23/2017,256.11,63838430,257.48,257.51,256.02
10/20/2017,257.11,89064780,256.7,257.14,255.7744
10/19/2017,255.79,61697310,254.83,255.83,254.35
10/18/2017,255.72,40613860,255.9,255.95,255.5
10/17/2017,255.47,31446710,255.23,255.52,254.98
10/16/2017,255.29,38097990,255.21,255.51,254.82
10/13/2017,254.95,55027240,255.14,255.27,254.64
10/12/2017,254.64,46825470,254.66,255.06,254.365
10/11/2017,255.02,47496390,254.51,255.02,254.32
10/10/2017,254.62,42854370,254.6,255.05,253.98
10/09/2017,253.95,35697230,254.63,254.7,253.65
10/06/2017,254.37,80525280,254.15,254.7008,253.85
10/05/2017,254.66,63350340,253.54,254.68,253.196
10/04/2017,253.16,55799300,252.69,253.44,252.56
10/03/2017,252.86,66628100,252.46,252.89,252.23
10/02/2017,252.32,58696810,251.49,252.32,251.2926
09/29/2017,251.23,85201140,250.34,251.32,250.13
09/28/2017,250.35,44658490,249.73,250.44,249.63
09/27/2017,250.05,80720860,249.88,250.49,248.87
09/26/2017,249.08,54025690,249.42,249.7,248.805
09/25/2017,248.93,56897290,249.15,249.5532,248.08
09/22/2017,249.44,51187270,249.05,249.63,249.02
09/21/2017,249.39,48070470,249.88,249.98,249.185
09/20/2017,250.06,59451260,250.07,250.19,248.92
09/19/2017,249.97,46977870,250,250.07,249.6
09/18/2017,249.72,46389770,249.61,250.12,249.28
09/15/2017,249.19,94195140,248.69,249.29,248.57
09/14/2017,250.09,94415520,249.8,250.32,249.6
